1.69089,0.502883,1.87437,5.57625,9.64439
1.30209,2.66884,2.9003,3.1394,10.0106
0.647043,2.93329,1.60119,4.60064,9.78217
0.0805687,4.70986,1.06355,2.95621,8.81018
0.916854,3.5825,0.770308,2.58994,7.85959
4.09252,3.23906,1.80266,2.03599,11.1702
1.94521,3.15007,0.63534,3.50572,9.23634
1.48615,1.50646,1.83285,3.47421,8.29966
2.22646,2.0237,1.94604,0.629825,6.82603
2.13998,5.18239,1.34169,2.07504,10.7391
1.00143,1.15341,2.17567,1.91266,6.24317
1886.93,545.362,306.424,63.6725,2802.39
2.63123,2.09783,1.51797,3.76869,10.0157
0.433777,3.64098,2.74621,5.38762,12.2086
3.10524,2.89376,0.631732,3.77542,10.4062
1.00648,4.19682,0.884428,3.92066,10.0084
1.76018,0.789767,3.46136,5.86743,11.8787
1.48525,3.82492,1.06708,3.91991,10.2972
0.558216,3.43848,2.0432,1.6717,7.7116
1.97674,3.32279,2.20237,1.7736,9.2755
0.474154,4.06284,0.685243,4.69177,9.91401
2.23139,2.05835,1.39147,2.44877,8.12998
3.68295,1.63097,1.98845,1.25186,8.55423
1.785,1.69805,3.28792,2.06985,8.84082
0.90844,2.21918,2.74725,1.93564,7.8105
1.20112,3.71488,1.54835,6.83212,13.2965
2.36619,2.23714,2.82292,1.92222,9.34848
1.00681,4.22558,0.760992,4.01651,10.0099
2.43781,6.36977,2.76579,0.997593,12.571
2.35634,3.87685,0.632569,5.96731,12.8331
2.23516,0.63416,1.98644,5.31856,10.1743
2.05673,0.798102,2.70058,3.85523,9.41064
1.70198,2.56738,1.76027,3.20046,9.23008
0.758028,2.89021,2.9723,1.83043,8.45097
3.40418,6.35441,2.75225,0.765933,13.2768
1.61491,3.57611,1.24475,3.42503,9.8608
3.8013,4.38982,1.8051,1.05704,11.0533
1.48358,1.3673,1.18945,6.05072,10.091
2.08993,1.7841,0.962529,6.28176,11.1183
1.05262,3.05592,1.62108,1.78184,7.51146
6.18339,4.60763,1.99898,1.14979,13.9398
2.06167,2.16856,2.7449,2.51044,9.48558
1.31515,2.51669,0.636348,5.47311,9.9413
1.00031,2.35958,2.55975,2.84374,8.76339
2.5365,1.88581,3.20934,3.99474,11.6264
2.54964,0.851624,2.99268,2.32435,8.71829
2.94285,2.68355,2.36212,0.980981,8.9695
1.48806,2.0706,1.22625,2.76764,7.55255
1.33812,1.11909,1.94667,2.57516,6.97903
1.31164,4.91182,0.873672,2.55083,9.64797
2.70856,0.574419,3.07983,1.0048,7.36761
2.81821,2.68942,0.614575,3.83714,9.95935
1917.37,429.233,460.781,48.4799,2855.87
1.2345,8.10742,1.77056,1.81658,12.929
1.20287,4.18082,2.57601,0.908079,8.86778
0.375479,3.62789,0.77397,4.46382,9.24115
1.78098,1.19801,0.886804,3.42392,7.28972
2.77909,0.994588,2.89928,2.15467,8.82763
1.96339,1.74014,3.94452,3.20173,10.8498
1.67704,2.23285,1.31318,3.56393,8.78701
1.31002,1.33192,1.48336,3.49451,7.61981
3.65784,3.54669,3.06143,0.745054,11.011
1.90045,2.43276,0.547422,2.85415,7.73478
2.85226,0.792044,3.48729,3.65699,10.7886
1.39412,1.53924,1.85077,2.43404,7.21817
2.87748,2.86352,1.77296,1.52436,9.03832
2.18585,3.46758,0.770397,2.66536,9.08919
3.22343,4.05047,2.51148,1.27532,11.0607
0.755488,2.36533,1.20387,3.71706,8.04175
1.7627,2.78415,0.751839,5.08776,10.3864
2.34168,1.57979,1.07021,2.35189,7.34357
0.404634,4.04482,0.170598,8.60983,13.2299
1.43788,3.98218,3.31048,2.10067,10.8312
1.78533,4.72459,1.77885,2.28389,10.5727
1.07287,2.98134,0.521613,3.23828,7.8141
1.01825,3.03381,0.395719,4.12967,8.57745
0.446676,5.1354,0.83371,3.32112,9.7369
1.53383,2.63088,0.629741,2.93659,7.73104
1.16098,3.28266,0.687764,2.2239,7.35531
2.15611,1.14096,2.72894,3.05452,9.08054
2.53387,1.19567,1.25803,3.93011,8.91767
0.889515,2.32198,2.33298,2.07015,7.61462
2.89272,2.06907,1.90209,2.53219,9.39607
